,Category,sub1,sub2,Role,Exp,Range,Display Role
22,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,18 - 40,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
23,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 75,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
24,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,60 - 120,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
25,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,08 - 20,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
26,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,18 - 40,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
27,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 60,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
28,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,50 - 100,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
29,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 12,Sales in Consumer Goods (FMCG)
30,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,10 - 20,Sales in Consumer Goods (FMCG)
31,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,15 - 30,Sales in Consumer Goods (FMCG)
32,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,25 - 75,Sales in Consumer Goods (FMCG)
33,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 10,Marketing in Consumer Goods (FMCG)
34,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,08 - 15,Marketing in Consumer Goods (FMCG)
35,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,15 - 25,Marketing in Consumer Goods (FMCG)
36,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,20 - 60,Marketing in Consumer Goods (FMCG)
37,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 12,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
38,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,10 - 22,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
39,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,22 - 40,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
40,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,35 - 50,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
41,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,06 - 15,Communications & CSR in Consumer Goods (FMCG)
42,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,12 - 28,Communications & CSR in Consumer Goods (FMCG)
43,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 45,Communications & CSR in Consumer Goods (FMCG)
44,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,30 - 60,Communications & CSR in Consumer Goods (FMCG)
45,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,08 - 18,Medical Affairs in Consumer Goods (FMCG)
46,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,12 - 40,Medical Affairs in Consumer Goods (FMCG)
47,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,30 - 60,Medical Affairs in Consumer Goods (FMCG)
48,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,50 - 120,Medical Affairs in Consumer Goods (FMCG)
49,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 25,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
50,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,18 - 40,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
51,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,35 - 60,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
