,Category,sub1,sub2,Role,Exp,Range,Display Role
21,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Industrial_Relations_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,40 - 70,Industrial Relations in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
22,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Industrial_Relations_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,60 - 120,Industrial Relations in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
23,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,20 - 40,HR Operations / Payroll / HRIS in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
24,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,35 - 60,HR Operations / Payroll / HRIS in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
25,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,50 - 90,HR Operations / Payroll / HRIS in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
26,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Consulting_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,30 - 65,HR Consulting in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
27,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Consulting_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,50 - 90,HR Consulting in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
28,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Consulting_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,70 - 150,HR Consulting in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
29,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,50 - 80,Head of Human Resources (Large Companies) in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
30,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,60 - 150,Head of Human Resources (Large Companies) in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
31,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,25 - 45,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
32,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,35 - 65,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
33,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,50 - 100,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
34,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 40,HR Generalist / Business Partner in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
35,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 55,HR Generalist / Business Partner in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
36,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,45 - 80,HR Generalist / Business Partner in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
37,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 35,Learning & Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
38,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 45,Learning & Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
39,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,40 - 70,Learning & Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
40,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,25 - 45,Compensation & Benefits in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
41,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,35 - 60,Compensation & Benefits in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
42,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,55 - 90,Compensation & Benefits in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
43,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 40,Talent Acquisition in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
44,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 50,Talent Acquisition in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
45,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,40 - 70,Talent Acquisition in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
46,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Management___Organisational_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,25 - 40,Talent Management / Organisational Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
47,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Management___Organisational_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,35 - 60,Talent Management / Organisational Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
48,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Talent_Management___Organisational_Development_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,50 - 85,Talent Management / Organisational Development in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
49,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Industrial_Relations_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 35,Industrial Relations in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
50,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Industrial_Relations_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 45,Industrial Relations in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
51,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,Industrial_Relations_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,40 - 65,Industrial Relations in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
52,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,18 - 35,HR Operations / Payroll / HRIS in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
53,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 50,HR Operations / Payroll / HRIS in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
54,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Operations___Payroll___HRIS_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,45 - 70,HR Operations / Payroll / HRIS in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
55,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Consulting_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,25 - 45,HR Consulting in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
56,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Consulting_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,35 - 50,HR Consulting in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
