,Category,sub1,sub2,Role,Exp,Range,Display Role
44,Property & Construction,Business Management,P&L & Operations,Customer_Relationship_Management_Business_Management_PandL_and_Operations,15 - 25 years,35 - 80,Customer Relationship Management
45,Property & Construction,Business Management,P&L & Operations,Customer_Relationship_Management_Business_Management_PandL_and_Operations,25+ years,45 - 200,Customer Relationship Management
46,Property & Construction,Business Management,Technical,Architecture_and_Design_Business_Management_Technical,3 - 5 years,15 - 25,Architecture & Design
47,Property & Construction,Business Management,Technical,Architecture_and_Design_Business_Management_Technical,5 - 10 years,15 - 25,Architecture & Design
48,Property & Construction,Business Management,Technical,Architecture_and_Design_Business_Management_Technical,10 - 15 years,15 - 50,Architecture & Design
49,Property & Construction,Business Management,Technical,Architecture_and_Design_Business_Management_Technical,15 - 25 years,40 - 120,Architecture & Design
50,Property & Construction,Business Management,Technical,Architecture_and_Design_Business_Management_Technical,25+ years,70 - 300,Architecture & Design
51,Property & Construction,Business Management,Technical,Project_Management_Business_Management_Technical,3 - 5 years,15 - 25,Project Management
52,Property & Construction,Business Management,Technical,Project_Management_Business_Management_Technical,5 - 10 years,15 - 35,Project Management
53,Property & Construction,Business Management,Technical,Project_Management_Business_Management_Technical,10 - 15 years,20 - 70,Project Management
54,Property & Construction,Business Management,Technical,Project_Management_Business_Management_Technical,15 - 25 years,50 - 150,Project Management
55,Property & Construction,Business Management,Technical,Project_Management_Business_Management_Technical,25+ years,70 - 450,Project Management
56,Property & Construction,Business Management,Technical,"Mechanical,_Electrical_and_Plumbing_Business_Management_Technical",3 - 5 years,15 - 25,"Mechanical, Electrical & Plumbing"
57,Property & Construction,Business Management,Technical,"Mechanical,_Electrical_and_Plumbing_Business_Management_Technical",5 - 10 years,15 - 30,"Mechanical, Electrical & Plumbing"
58,Property & Construction,Business Management,Technical,"Mechanical,_Electrical_and_Plumbing_Business_Management_Technical",10 - 15 years,20 - 60,"Mechanical, Electrical & Plumbing"
59,Property & Construction,Business Management,Technical,"Mechanical,_Electrical_and_Plumbing_Business_Management_Technical",15 - 25 years,40 - 150,"Mechanical, Electrical & Plumbing"
60,Property & Construction,Business Management,Technical,"Mechanical,_Electrical_and_Plumbing_Business_Management_Technical",25+ years,70 - 350,"Mechanical, Electrical & Plumbing"
61,Property & Construction,Business Management,Technical,Structural_Engineering_Business_Management_Technical,3 - 5 years,15 - 25,Structural Engineering
62,Property & Construction,Business Management,Technical,Structural_Engineering_Business_Management_Technical,5 - 10 years,15 - 30,Structural Engineering
63,Property & Construction,Business Management,Technical,Structural_Engineering_Business_Management_Technical,10 - 15 years,20 - 60,Structural Engineering
64,Property & Construction,Business Management,Technical,Structural_Engineering_Business_Management_Technical,15 - 25 years,40 - 100,Structural Engineering
65,Property & Construction,Business Management,Technical,Structural_Engineering_Business_Management_Technical,25+ years,80 - 300,Structural Engineering
66,Property & Construction,Business Management,Technical,Health_and_Safety_Business_Management_Technical,3 - 5 years,15 - 25,Health & Safety
67,Property & Construction,Business Management,Technical,Health_and_Safety_Business_Management_Technical,5 - 10 years,15 - 25,Health & Safety
68,Property & Construction,Business Management,Technical,Health_and_Safety_Business_Management_Technical,10 - 15 years,Dec-60,Health & Safety
69,Property & Construction,Business Management,Technical,Health_and_Safety_Business_Management_Technical,15 - 25 years,40 - 100,Health & Safety
70,Property & Construction,Business Management,Technical,Health_and_Safety_Business_Management_Technical,25+ years,40 - 200,Health & Safety
71,Property & Construction,Business Management,Technical,Quantity_Surveying_Business_Management_Technical,3 - 5 years,15 - 25,Quantity Surveying
72,Property & Construction,Business Management,Technical,Quantity_Surveying_Business_Management_Technical,5 - 10 years,15 - 20,Quantity Surveying
73,Property & Construction,Business Management,Technical,Quantity_Surveying_Business_Management_Technical,10 - 15 years,15 - 50,Quantity Surveying
74,Property & Construction,Business Management,Technical,Quantity_Surveying_Business_Management_Technical,15 - 25 years,20 - 70,Quantity Surveying
75,Property & Construction,Business Management,Technical,Quantity_Surveying_Business_Management_Technical,25+ years,60 - 250,Quantity Surveying
76,Property & Construction,Business Management,Technical,Planning_and_Coordination_Business_Management_Technical,3 - 5 years,15 - 25,Planning & Coordination
77,Property & Construction,Business Management,Technical,Planning_and_Coordination_Business_Management_Technical,5 - 10 years,15 - 30,Planning & Coordination
78,Property & Construction,Business Management,Technical,Planning_and_Coordination_Business_Management_Technical,10 - 15 years,25 - 70,Planning & Coordination
79,Property & Construction,Business Management,Technical,Planning_and_Coordination_Business_Management_Technical,15 - 25 years,30 - 100,Planning & Coordination
80,Property & Construction,Business Management,Technical,Planning_and_Coordination_Business_Management_Technical,25+ years,50 - 200,Planning & Coordination
81,Property & Construction,Business Management,Technical,Contracts_Management_Business_Management_Technical,3 - 5 years,15 - 25,Contracts Management
82,Property & Construction,Business Management,Technical,Contracts_Management_Business_Management_Technical,5 - 10 years,15 - 30,Contracts Management
83,Property & Construction,Business Management,Technical,Contracts_Management_Business_Management_Technical,10 - 15 years,25 - 70,Contracts Management
84,Property & Construction,Business Management,Technical,Contracts_Management_Business_Management_Technical,15 - 25 years,30 - 100,Contracts Management
85,Property & Construction,Business Management,Technical,Contracts_Management_Business_Management_Technical,25+ years,40 - 200,Contracts Management
