,Category,sub1,Role,Exp,Range,Display Role
17,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,30 - 70,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
18,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,50 - 100,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
19,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,80 - 120+,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
20,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Sustainability_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,15 - 30,Sustainability in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
21,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Sustainability_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,35 - 60,Sustainability in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
22,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Sustainability_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,60 - 90,Sustainability in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
23,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Sustainability_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,-,Sustainability in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
24,Procurement & Supply Chain,Non-Business School Graduates,Procurement_Non-Business_School_Graduates,3 - 5 years,08 - 15,Procurement in Non-Business School Graduates
25,Procurement & Supply Chain,Non-Business School Graduates,Procurement_Non-Business_School_Graduates,5 - 10 years,15 - 40,Procurement in Non-Business School Graduates
26,Procurement & Supply Chain,Non-Business School Graduates,Procurement_Non-Business_School_Graduates,10 - 15 years,32 - 60,Procurement in Non-Business School Graduates
27,Procurement & Supply Chain,Non-Business School Graduates,Procurement_Non-Business_School_Graduates,15+ years,50 - 150,Procurement in Non-Business School Graduates
28,Procurement & Supply Chain,Non-Business School Graduates,Logistics_(Transportation_and_Warehousing)_Non-Business_School_Graduates,3 - 5 years,08 - 15,Logistics (Transportation & Warehousing) in Non-Business School Graduates
29,Procurement & Supply Chain,Non-Business School Graduates,Logistics_(Transportation_and_Warehousing)_Non-Business_School_Graduates,5 - 10 years,15 - 35,Logistics (Transportation & Warehousing) in Non-Business School Graduates
30,Procurement & Supply Chain,Non-Business School Graduates,Logistics_(Transportation_and_Warehousing)_Non-Business_School_Graduates,10 - 15 years,26 - 50,Logistics (Transportation & Warehousing) in Non-Business School Graduates
31,Procurement & Supply Chain,Non-Business School Graduates,Logistics_(Transportation_and_Warehousing)_Non-Business_School_Graduates,15+ years,45 - 110,Logistics (Transportation & Warehousing) in Non-Business School Graduates
32,Procurement & Supply Chain,Non-Business School Graduates,Supply_Chain_Non-Business_School_Graduates,3 - 5 years,08 - 15,Supply Chain in Non-Business School Graduates
33,Procurement & Supply Chain,Non-Business School Graduates,Supply_Chain_Non-Business_School_Graduates,5 - 10 years,15 - 35,Supply Chain in Non-Business School Graduates
34,Procurement & Supply Chain,Non-Business School Graduates,Supply_Chain_Non-Business_School_Graduates,10 - 15 years,30 - 60,Supply Chain in Non-Business School Graduates
35,Procurement & Supply Chain,Non-Business School Graduates,Supply_Chain_Non-Business_School_Graduates,15+ years,50 - 150,Supply Chain in Non-Business School Graduates
36,Procurement & Supply Chain,Non-Business School Graduates,Sourcing_Non-Business_School_Graduates,3 - 5 years,08 - 15,Sourcing in Non-Business School Graduates
37,Procurement & Supply Chain,Non-Business School Graduates,Sourcing_Non-Business_School_Graduates,5 - 10 years,15 - 35,Sourcing in Non-Business School Graduates
38,Procurement & Supply Chain,Non-Business School Graduates,Sourcing_Non-Business_School_Graduates,10 - 15 years,26 - 50,Sourcing in Non-Business School Graduates
39,Procurement & Supply Chain,Non-Business School Graduates,Sourcing_Non-Business_School_Graduates,15+ years,45 - 100,Sourcing in Non-Business School Graduates
40,Procurement & Supply Chain,Non-Business School Graduates,Planning_Non-Business_School_Graduates,3 - 5 years,08 - 15,Planning in Non-Business School Graduates
41,Procurement & Supply Chain,Non-Business School Graduates,Planning_Non-Business_School_Graduates,5 - 10 years,15 - 35,Planning in Non-Business School Graduates
42,Procurement & Supply Chain,Non-Business School Graduates,Planning_Non-Business_School_Graduates,10 - 15 years,26 - 50,Planning in Non-Business School Graduates
43,Procurement & Supply Chain,Non-Business School Graduates,Planning_Non-Business_School_Graduates,15+ years,55 - 105,Planning in Non-Business School Graduates
44,Procurement & Supply Chain,Non-Business School Graduates,Sustainability_Non-Business_School_Graduates,3 - 5 years,08 - 22,Sustainability in Non-Business School Graduates
45,Procurement & Supply Chain,Non-Business School Graduates,Sustainability_Non-Business_School_Graduates,5 - 10 years,22 - 35,Sustainability in Non-Business School Graduates
46,Procurement & Supply Chain,Non-Business School Graduates,Sustainability_Non-Business_School_Graduates,10 - 15 years,36 - 60,Sustainability in Non-Business School Graduates
47,Procurement & Supply Chain,Captives / Shared Services,Procurement_Manager_Captives___Shared_Services,3 - 5 years,16 - 20,Procurement Manager in Captives / Shared Services
48,Procurement & Supply Chain,Captives / Shared Services,Procurement_Manager_Captives___Shared_Services,5 - 10 years,20 - 40,Procurement Manager in Captives / Shared Services
