,Category,sub1,sub2,Exp,Range,Role,Display Role
26,Finance & Accounting,Specialist,"Corporate Finance (M&A, IR, Fund Raising)",3 - 5 years,22 - 30,"Finance_and_Accounting_Specialist_Corporate_Finance_(MandA,_IR,_Fund_Raising)","Specialist Corporate Finance (M&A, IR, Fund Raising)"
27,Finance & Accounting,Specialist,"Corporate Finance (M&A, IR, Fund Raising)",5 - 10 years,28 - 70,"Finance_and_Accounting_Specialist_Corporate_Finance_(MandA,_IR,_Fund_Raising)","Specialist Corporate Finance (M&A, IR, Fund Raising)"
28,Finance & Accounting,Specialist,"Corporate Finance (M&A, IR, Fund Raising)",10 - 15 years,50 - 120,"Finance_and_Accounting_Specialist_Corporate_Finance_(MandA,_IR,_Fund_Raising)","Specialist Corporate Finance (M&A, IR, Fund Raising)"
29,Finance & Accounting,Specialist,"Corporate Finance (M&A, IR, Fund Raising)",15+ years,75 - 200,"Finance_and_Accounting_Specialist_Corporate_Finance_(MandA,_IR,_Fund_Raising)","Specialist Corporate Finance (M&A, IR, Fund Raising)"
30,Finance & Accounting,Specialist,Treasury,3 - 5 years,12 - 25,Finance_and_Accounting_Specialist_Treasury,Specialist Treasury
31,Finance & Accounting,Specialist,Treasury,5 - 10 years,15 - 45,Finance_and_Accounting_Specialist_Treasury,Specialist Treasury
32,Finance & Accounting,Specialist,Treasury,10 - 15 years,40 - 90,Finance_and_Accounting_Specialist_Treasury,Specialist Treasury
33,Finance & Accounting,Specialist,Treasury,15+ years,50 - 200,Finance_and_Accounting_Specialist_Treasury,Specialist Treasury
34,Finance & Accounting,Specialist,Commercial (Sales & Supply Chain),3 - 5 years,15 - 20,Finance_and_Accounting_Specialist_Commercial_(Sales_and_Supply_Chain),Specialist Commercial (Sales & Supply Chain)
35,Finance & Accounting,Specialist,Commercial (Sales & Supply Chain),5 - 10 years,15 - 40,Finance_and_Accounting_Specialist_Commercial_(Sales_and_Supply_Chain),Specialist Commercial (Sales & Supply Chain)
36,Finance & Accounting,Specialist,Commercial (Sales & Supply Chain),10 - 15 years,30 - 75,Finance_and_Accounting_Specialist_Commercial_(Sales_and_Supply_Chain),Specialist Commercial (Sales & Supply Chain)
37,Finance & Accounting,Specialist,Commercial (Sales & Supply Chain),15+ years,65 - 120,Finance_and_Accounting_Specialist_Commercial_(Sales_and_Supply_Chain),Specialist Commercial (Sales & Supply Chain)
38,Finance & Accounting,Specialist,Manufacturing / Plant Controller,3 - 5 years,12 - 20,Finance_and_Accounting_Specialist_Manufacturing___Plant_Controller,Specialist Manufacturing / Plant Controller
39,Finance & Accounting,Specialist,Manufacturing / Plant Controller,5 - 10 years,15 - 30,Finance_and_Accounting_Specialist_Manufacturing___Plant_Controller,Specialist Manufacturing / Plant Controller
40,Finance & Accounting,Specialist,Manufacturing / Plant Controller,10 - 15 years,25 - 50,Finance_and_Accounting_Specialist_Manufacturing___Plant_Controller,Specialist Manufacturing / Plant Controller
